2026-07-13 11:54:35 [INFO] uav_system - Session log directory: C:\Users\Administrator\Desktop\Code\multi_uav_decision\server\server_logs\20260713115435-c4fdfd23
2026-07-13 11:54:35 [INFO] uav_system - Session ID: 20260713115435-c4fdfd23
2026-07-13 11:54:35 [INFO] uav_system - Request history retention: 5000 records for the current session
2026-07-13 11:54:35 [INFO] uav_system - Starting API server at http://127.0.0.1:8000
2026-07-13 11:54:35 [INFO] uav_system - API Documentation: http://127.0.0.1:8000/docs
2026-07-13 11:54:37 [INFO] uav_system - Starting UI interface...
2026-07-13 11:55:04 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 3ms - Role: system
2026-07-13 11:55:13 [INFO] uav_system - 127.0.0.1 GET /sessions 200 - 2ms - Role: admin
2026-07-13 11:55:13 [INFO] uav_system - 127.0.0.1 GET /sessions 200 - 2ms - Role: admin
2026-07-13 11:55:13 [INFO] uav_system - 127.0.0.1 GET /sessions/current 200 - 2ms - Role: admin
2026-07-13 11:55:43 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 5ms - Role: system
2026-07-13 11:55:46 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 3ms - Role: system
2026-07-13 11:56:04 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 9ms - Role: system
2026-07-13 11:57:04 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 4ms - Role: system
2026-07-13 11:58:04 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 5ms - Role: system
2026-07-13 11:59:04 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 8ms - Role: system
2026-07-13 12:00:04 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 3ms - Role: system
2026-07-13 12:01:04 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 6ms - Role: system
2026-07-13 12:02:04 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 3ms - Role: system
2026-07-13 12:02:07 [INFO] uav_system - 127.0.0.1 GET /sessions/current 200 - 3ms - Role: agent
2026-07-13 12:02:10 [INFO] uav_system - 127.0.0.1 GET /sessions/current 200 - 3ms - Role: agent
2026-07-13 12:02:26 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 5ms - Role: system
2026-07-13 12:02:29 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 3ms - Role: system
2026-07-13 12:02:32 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 5ms - Role: system
2026-07-13 12:02:32 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 5ms - Role: system
2026-07-13 12:04:17 [INFO] uav_system - 127.0.0.1 GET /version 200 - 2ms - Role: agent
2026-07-13 12:04:18 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 403 - 2ms - Role: agent
2026-07-13 12:05:39 [INFO] uav_system - 127.0.0.1 GET /version 200 - 2ms - Role: agent
2026-07-13 12:05:59 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 5ms - Role: system
2026-07-13 12:06:12 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 3ms - Role: system
2026-07-13 12:07:50 [INFO] uav_system - 127.0.0.1 GET /sessions/current/task-progress 200 - 2ms - Role: agent
2026-07-13 12:07:52 [INFO] uav_system - 127.0.0.1 GET /sessions/current 200 - 2ms - Role: agent
2026-07-13 12:07:54 [INFO] uav_system - 127.0.0.1 GET /sessions/current/task-progress 200 - 2ms - Role: agent
2026-07-13 12:07:56 [INFO] uav_system - 127.0.0.1 GET /drones 200 - 1ms - Role: agent
2026-07-13 12:09:14 [INFO] uav_system - 127.0.0.1 GET /sessions/current/tasks/next 404 - 3ms - Role: agent
2026-07-13 12:09:28 [INFO] uav_system - 127.0.0.1 GET /sessions/current 200 - 2ms - Role: agent
2026-07-13 12:10:46 [INFO] uav_system - 127.0.0.1 GET /sessions/current 200 - 2ms - Role: agent
2026-07-13 12:10:48 [INFO] uav_system - 127.0.0.1 GET /sessions/current/task-progress 200 - 0ms - Role: agent
2026-07-13 12:10:50 [INFO] uav_system - 127.0.0.1 GET /drones 200 - 2ms - Role: agent
2026-07-13 12:12:45 [INFO] uav_system - 127.0.0.1 GET /sessions/current 200 - 2ms - Role: agent
2026-07-13 12:12:48 [INFO] uav_system - 127.0.0.1 GET /sessions/current 200 - 2ms - Role: agent
2026-07-13 12:13:27 [INFO] uav_system - 127.0.0.1 GET /sessions/current 200 - 2ms - Role: agent
2026-07-13 12:13:33 [INFO] uav_system - 127.0.0.1 GET /drones 200 - 2ms - Role: agent
2026-07-13 12:13:33 [INFO] uav_system - 127.0.0.1 GET /environments/current 200 - 5ms - Role: agent
2026-07-13 12:13:40 [INFO] uav_system - 127.0.0.1 GET /drones/a00c5ada/nearby 200 - 11ms - Role: agent
2026-07-13 12:13:42 [INFO] uav_system - 127.0.0.1 GET /drones/346efb66/nearby 200 - 2ms - Role: agent
2026-07-13 12:13:54 [INFO] uav_system - 127.0.0.1 POST /drones/a00c5ada/command/take_off?altitude=20.0 200 - 9ms - Role: agent
2026-07-13 12:13:54 [INFO] uav_system - 127.0.0.1 POST /drones/346efb66/command/take_off?altitude=20.0 200 - 9ms - Role: agent
2026-07-13 12:14:01 [INFO] uav_system - 127.0.0.1 POST /drones/a00c5ada/command/move_to?x=304.0&y=47.0&z=20.0 200 - 266ms - Role: agent
2026-07-13 12:14:01 [INFO] uav_system - 127.0.0.1 POST /drones/346efb66/command/move_to?x=760.0&y=288.0&z=20.0 200 - 268ms - Role: agent
2026-07-13 12:14:24 [INFO] uav_system - 127.0.0.1 GET /drones 200 - 2ms - Role: agent
2026-07-13 12:15:07 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 6ms - Role: system
2026-07-13 12:15:10 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 5ms - Role: system
2026-07-13 12:15:13 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 3ms - Role: system
2026-07-13 12:15:16 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 3ms - Role: system
2026-07-13 12:15:19 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 3ms - Role: system
2026-07-13 12:15:22 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 3ms - Role: system
2026-07-13 12:15:26 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 4ms - Role: system
2026-07-13 12:15:29 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 3ms - Role: system
2026-07-13 12:15:31 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 3ms - Role: system
2026-07-13 12:15:34 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 3ms - Role: system
2026-07-13 12:15:37 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 7ms - Role: system
2026-07-13 12:15:40 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 4ms - Role: system
2026-07-13 12:15:43 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 3ms - Role: system
2026-07-13 12:15:46 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 3ms - Role: system
2026-07-13 12:15:49 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 4ms - Role: system
2026-07-13 12:15:52 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 6ms - Role: system
2026-07-13 12:15:55 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 4ms - Role: system
2026-07-13 12:15:58 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 6ms - Role: system
2026-07-13 12:16:01 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 3ms - Role: system
2026-07-13 12:16:04 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 3ms - Role: system
2026-07-13 12:16:07 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 3ms - Role: system
2026-07-13 12:16:10 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 3ms - Role: system
2026-07-13 12:16:13 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 5ms - Role: system
2026-07-13 12:16:16 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 4ms - Role: system
2026-07-13 12:16:19 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 3ms - Role: system
2026-07-13 12:16:22 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 4ms - Role: system
2026-07-13 12:16:25 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 3ms - Role: system
2026-07-13 12:16:28 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 3ms - Role: system
2026-07-13 12:16:31 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 4ms - Role: system
2026-07-13 12:16:34 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 4ms - Role: system
2026-07-13 12:16:37 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 5ms - Role: system
2026-07-13 12:16:40 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 4ms - Role: system
2026-07-13 12:16:43 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 3ms - Role: system
2026-07-13 12:16:46 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 3ms - Role: system
2026-07-13 12:16:49 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 4ms - Role: system
2026-07-13 12:16:53 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 4ms - Role: system
2026-07-13 12:16:56 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 5ms - Role: system
2026-07-13 12:16:59 [INFO] uav_system - 127.0.0.1 GET /sessions/current/data 200 - 3ms - Role: system
